Series Name,Series Code,Country Name,Country Code,2020 [YR2020]
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Cabo Verde,CPV,3.79166666666667
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Cambodia,KHM,3.425
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Cameroon,CMR,3.325
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Canada,CAN,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Cayman Islands,CYM,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Central African Republic,CAF,2.55
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Chad,TCD,2.775
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Channel Islands,CHI,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Chile,CHL,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,China,CHN,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Colombia,COL,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Comoros,COM,2.71666666666667
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,"Congo, Dem. Rep.",COD,2.96666666666667
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,"Congo, Rep.",COG,2.68333333333333
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Costa Rica,CRI,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Cote d'Ivoire,CIV,3.58333333333333
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Croatia,HRV,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Cuba,CUB,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Curacao,CUW,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Cyprus,CYP,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Czech Republic,CZE,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Denmark,DNK,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Djibouti,DJI,3.23333333333333
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Dominica,DMA,3.65
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Dominican Republic,DOM,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Ecuador,ECU,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,"Egypt, Arab Rep.",EGY,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,El Salvador,SLV,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Equatorial Guinea,GNQ,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Eritrea,ERI,1.91666666666667
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Estonia,EST,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Eswatini,SWZ,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Ethiopia,ETH,3.53333333333333
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Faroe Islands,FRO,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Fiji,FJI,3.41666666666667
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Finland,FIN,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,France,FRA,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,French Polynesia,PYF,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Gabon,GAB,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,"Gambia, The",GMB,2.975
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Georgia,GEO,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Germany,DEU,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Ghana,GHA,3.575
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Gibraltar,GIB,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Greece,GRC,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Greenland,GRL,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Grenada,GRD,3.64166666666667
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Guam,GUM,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Guatemala,GTM,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Guinea,GIN,3.28333333333333
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Guinea-Bissau,GNB,2.45
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Guyana,GUY,3.26666666666667
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Haiti,HTI,2.7
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Honduras,HND,3.4
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,"Hong Kong SAR, China",HKG,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Hungary,HUN,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Iceland,ISL,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,India,IND,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Indonesia,IDN,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,"Iran, Islamic Rep.",IRN,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Iraq,IRQ,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Ireland,IRL,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Isle of Man,IMN,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Israel,ISR,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Italy,ITA,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Jamaica,JAM,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Japan,JPN,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Jordan,JOR,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Kazakhstan,KAZ,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Kenya,KEN,3.69166666666667
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Kiribati,KIR,3.025
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,"Korea, Dem. People's Rep.",PRK,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,"Korea, Rep.",KOR,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Kosovo,XKX,3.63333333333333
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Kuwait,KWT,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Kyrgyz Republic,KGZ,3.54166666666667
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Lao PDR,LAO,3.00833333333333
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Latvia,LVA,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Lebanon,LBN,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Lesotho,LSO,3.29166666666667
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Liberia,LBR,2.95
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Libya,LBY,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Liechtenstein,LIE,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Lithuania,LTU,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Luxembourg,LUX,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,"Macao SAR, China",MAC,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Madagascar,MDG,3.25
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Malawi,MWI,3.19166666666667
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Malaysia,MYS,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Maldives,MDV,3.225
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Mali,MLI,3.29166666666667
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Malta,MLT,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Marshall Islands,MHL,2.6
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Mauritania,MRT,3.34166666666667
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Mauritius,MUS,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Mexico,MEX,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,"Micronesia, Fed. Sts.",FSM,2.75
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Moldova,MDA,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Monaco,MCO,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Mongolia,MNG,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Montenegro,MNE,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Morocco,MAR,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Mozambique,MOZ,3.11666666666667
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Myanmar,MMR,3
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Namibia,NAM,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Nauru,NRU,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Nepal,NPL,3.4
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Netherlands,NLD,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,New Caledonia,NCL,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,New Zealand,NZL,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Nicaragua,NIC,3.375
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Niger,NER,3.41666666666667
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Nigeria,NGA,3.2
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,North Macedonia,MKD,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Northern Mariana Islands,MNP,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Norway,NOR,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Oman,OMN,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Pakistan,PAK,3.30833333333333
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Palau,PLW,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Panama,PAN,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Papua New Guinea,PNG,2.8
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Paraguay,PRY,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Peru,PER,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Philippines,PHL,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Poland,POL,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Portugal,PRT,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Puerto Rico,PRI,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Qatar,QAT,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Romania,ROU,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Russian Federation,RUS,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Rwanda,RWA,4.06666666666667
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Samoa,WSM,3.95833333333333
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,San Marino,SMR,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Sao Tome and Principe,STP,2.98333333333333
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Saudi Arabia,SAU,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Senegal,SEN,3.71666666666667
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Serbia,SRB,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Seychelles,SYC,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Sierra Leone,SLE,3.14166666666667
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Singapore,SGP,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Sint Maarten (Dutch part),SXM,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Slovak Republic,SVK,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Slovenia,SVN,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Solomon Islands,SLB,2.93333333333333
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Somalia,SOM,2.01666666666667
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,South Africa,ZAF,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,South Sudan,SSD,1.475
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Spain,ESP,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Sri Lanka,LKA,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,St. Kitts and Nevis,KNA,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,St. Lucia,LCA,3.675
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,St. Martin (French part),MAF,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,St. Vincent and the Grenadines,VCT,3.70833333333333
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Sudan,SDN,2.23333333333333
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Suriname,SUR,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Sweden,SWE,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Switzerland,CHE,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Syrian Arab Republic,SYR,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Tajikistan,TJK,3.11666666666667
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Tanzania,TZA,3.48333333333333
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Thailand,THA,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Timor-Leste,TLS,2.83333333333333
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Togo,TGO,3.475
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Tonga,TON,3.39166666666667
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Trinidad and Tobago,TTO,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Tunisia,TUN,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Turkey,TUR,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Turkmenistan,TKM,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Turks and Caicos Islands,TCA,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Tuvalu,TUV,2.80833333333333
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Uganda,UGA,3.59166666666667
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Ukraine,UKR,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,United Arab Emirates,ARE,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,United Kingdom,GBR,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,United States,USA,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Uruguay,URY,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Uzbekistan,UZB,3.74166666666667
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Vanuatu,VUT,3.36666666666667
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,"Venezuela, RB",VEN,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Vietnam,VNM,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Virgin Islands (U.S.),VIR,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,West Bank and Gaza,PSE,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,"Yemen, Rep.",YEM,1.875
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Zambia,ZMB,3.10833333333333
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Zimbabwe,ZWE,2.98333333333333
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Africa Eastern and Southern,AFE,2.97631578947368
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Africa Western and Central,AFW,3.23541666666667
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Arab World,ARB,2.56944444444444
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Caribbean small states,CSS,3.58833333333333
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Central Europe and the Baltics,CEB,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Early-demographic dividend,EAR,3.27126436781609
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,East Asia & Pacific,EAS,3.09404761904762
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,East Asia & Pacific (excluding high income),EAP,3.09404761904762
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,East Asia & Pacific (IDA & IBRD countries),TEA,3.09404761904762
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Euro area,EMU,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Europe & Central Asia,ECS,3.50833333333333
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Europe & Central Asia (excluding high income),ECA,3.50833333333333
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Europe & Central Asia (IDA & IBRD countries),TEC,3.50833333333333
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,European Union,EUU,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Fragile and conflict affected situations,FCS,2.79811827956989
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Heavily indebted poor countries (HIPC),HPC,3.11118421052632
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,High income,HIC,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,IBRD only,IBD,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,IDA & IBRD total,IBT,3.15993150684931
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,IDA blend,IDB,3.36333333333333
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,IDA only,IDX,3.1073275862069
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,IDA total,IDA,3.15993150684932
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Late-demographic dividend,LTE,3.52166666666667
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Latin America & Caribbean,LCN,3.42708333333333
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Latin America & Caribbean (excluding high income),LAC,3.42708333333333
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Latin America & the Caribbean (IDA & IBRD countries),TLA,3.42708333333333
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Least developed countries: UN classification,LDC,3.0356884057971
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Low & middle income,LMY,3.15993150684932
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Low income,LIC,2.907
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Lower middle income,LMC,3.26981981981982
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Middle East & North Africa,MEA,2.55416666666666
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Middle East & North Africa (excluding high income),MNA,2.55416666666666
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Middle East & North Africa (IDA & IBRD countries),TMN,2.55416666666666
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Middle income,MIC,3.29166666666667
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,North America,NAC,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Not classified,INX,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,OECD members,OED,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Other small states,OSS,3.1375
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Pacific island small states,PSS,3.13888888888889
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Post-demographic dividend,PST,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Pre-demographic dividend,PRE,3.01544117647059
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Small states,SST,3.23194444444444
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,South Asia,SAS,3.25694444444444
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,South Asia (IDA & IBRD),TSA,3.25694444444444
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Sub-Saharan Africa,SSF,3.10918803418804
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Sub-Saharan Africa (excluding high income),SSA,3.10918803418804
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Sub-Saharan Africa (IDA & IBRD countries),TSS,3.10918803418804
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Upper middle income,UMC,3.36515151515152
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,World,WLD,3.15993150684932
Battle-related deaths (number of people),VC.BTL.DETH,Afghanistan,AFG,20473
Battle-related deaths (number of people),VC.BTL.DETH,Albania,ALB,..
Battle-related deaths (number of people),VC.BTL.DETH,Algeria,DZA,25
Battle-related deaths (number of people),VC.BTL.DETH,American Samoa,ASM,..
Battle-related deaths (number of people),VC.BTL.DETH,Andorra,AND,..
Battle-related deaths (number of people),VC.BTL.DETH,Angola,AGO,21
Battle-related deaths (number of people),VC.BTL.DETH,Antigua and Barbuda,ATG,..
Battle-related deaths (number of people),VC.BTL.DETH,Argentina,ARG,..
