"id","surfweight","year","age","gender","ethnicity","education","labour_force_status","partner","parent","number_children","tenure","hh_income","deprivation_area","migrant","disability","home_afford","life_satisfy","life_worth","health","tereo","gov_tereo","selfactual","trust","trust_police","trust_media","trust_parliament","voted","material_wellbeing_index","housecold","housedamp","moves","access_medical","access_green_space","access_public_transport","neighbourhood_connection","neighbourhood_crime_change","victim","discriminated_against","lonely_four_weeks","easy_hard_to_talk","number_children_text","moves_five_years_text","age_gp","hh_income_gp","weekly_income","annual_income","weekly_hours"
15,1969.839,2021,59,"Female","European/Other","Less than secondary school","Not in labour force","Partnered","Not a parent",0,"Owned with mortgage",96010,3,"NZ with NZ parents","Non-disabled",8,8,8,"Good","None or almost none","Disagree","Easy to be myself",0,3,0,3,"Yes",20,"No","Yes, sometimes",NA,NA,NA,NA,NA,"About the same",0,0,"None of the time","Easy","0",NA,"55-64",2,"   328.1",15456,26
16,13647.07,2021,18,"Female","European/Other","Less than secondary school","Employed","Not partnered","Not a parent",0,"Rented",123138,6,"Medium-term migrant","Non-disabled",10,10,8,"Excellent","None or almost none","Agree","Sometimes easy, sometimes hard",8,10,10,7,"No",5,"Yes, often","No",NA,NA,NA,NA,NA,"A little more",0,0,"A little of the time","Easy","0",NA,"15-24",3,"   301.7",13616,56
17,2916.332,2021,51,"Male","Māori","Less than secondary school","Employed","Not partnered","Not a parent",0,"Rented",53505,9,"NZ with NZ parents","Non-disabled",10,7,7,"Very Good","Basic","Neither agree nor disagree","Very easy to be myself",6,8,4,6,"No",16,"No","Yes, sometimes",NA,NA,NA,NA,NA,"A lot more",1,0,"A little of the time","Hard","0",NA,"45-54",2,"   401.3",18768,34
18,9848.456,2021,71,"Female","European/Other","Degree","Not in labour force","Partnered","Not a parent",0,"Owned with mortgage",85932,1,"Long-term migrant","Non-disabled",7,8,8,"Good","None or almost none","Neither agree nor disagree","Sometimes easy, sometimes hard",8,9,7,6,"Yes",19,"No","No",NA,NA,NA,NA,NA,"About the same",0,0,"None of the time","Easy","0",NA,"65+",2,"   534.4",24288,37
19,509.5721,2021,27,"Male","Māori","Less than secondary school","Employed","Partnered","Parent",1,"Rented",46460,7,"Medium-term migrant","Non-disabled",4,9,8,"Excellent","None or almost none","Strongly agree","Very easy to be myself",7,7,5,6,"No",12,"Yes, often","Yes, always",NA,NA,NA,NA,NA,"Moved here recently",0,1,"A little of the time","Sometimes easy, sometimes hard","1",NA,"25-34",1,"   360.6",16928,26
20,1576.869,2021,56,"Male","European/Other","Less than secondary school","Not in labour force","Partnered","Not a parent",0,"Owned with mortgage",100937,4,"NZ with NZ parents","Non-disabled",10,10,10,"Excellent","None or almost none","Disagree","Very easy to be myself",8,9,5,2,"Yes",20,"No","No",NA,NA,NA,NA,NA,"A lot more",0,0,"None of the time","Easy","0",NA,"55-64",3,"   535.4",25024,38
21,1738.872,2021,30,"Male","European/Other","Degree","Not in labour force","Not partnered","Parent",4,"Owned with mortgage",70613,10,"NZ with NZ parents","Disabled",9,9,8,"Good","Basic","Strongly agree","Easy to be myself",7,6,3,5,"Yes",16,"Yes, often","Yes, sometimes",NA,NA,NA,NA,NA,"A lot less",0,1,"None of the time","Sometimes easy, sometimes hard","4+",NA,"25-34",2,"   408.1",18400,36
22,1780.911,2021,52,"Male","European/Other","Post-secondary NCEA/diploma","Not in labour force","Partnered","Not a parent",0,"Owned with mortgage",135274,3,"Long-term migrant","Non-disabled",6,7,10,"Very Good","None or almost none","Neither agree nor disagree","Very easy to be myself",7,7,5,5,"Yes",17,"No","Yes, sometimes",NA,NA,NA,NA,NA,"A little more",0,0,"Some of the time","Hard","0",NA,"45-54",3,"   338.7",15456,32
23,1738.872,2021,79,"Male","European/Other","Less than secondary school","Not in labour force","Not partnered","Not a parent",0,"Owned with mortgage",44808,10,"NZ with NZ parents","Non-disabled",5,8,10,"Very Good","None or almost none","Neither agree nor disagree","Easy to be myself",8,10,8,9,"Yes",14,"No","No",NA,NA,NA,NA,NA,"About the same",0,0,"None of the time","Easy","0",NA,"65+",1,"   393.1",18032,35
24,3044.037,2021,40,"Male","European/Other","Secondary school","Not in labour force","Not partnered","Not a parent",0,"Owned without mortgage",121343,8,"NZ with NZ parents","Non-disabled",8,6,10,"Good","Basic","Strongly agree","Easy to be myself",8,9,7,5,"Yes",12,"Yes, sometimes","No",NA,NA,NA,NA,NA,"About the same",0,1,"A little of the time","Sometimes easy, sometimes hard","0",NA,"35-44",3,"   908.8",41952,34
25,1780.911,2021,63,"Male","European/Other","Post-secondary NCEA/diploma","Not in labour force","Not partnered","Not a parent",0,"Rented",21130,4,"NZ with NZ parents","Non-disabled",7,7,9,"Good","None or almost none","Agree","Very easy to be myself",8,8,6,2,"Yes",13,"Yes, always","Yes, always",NA,NA,NA,NA,NA,"About the same",0,0,"None of the time","Easy","0",NA,"55-64",1,"   478.5",21712,24
26,1433.499,2021,26,"Female","Māori","Secondary school","Employed","Not partnered","Not a parent",0,"Rented",60499,2,"Recent migrant","Non-disabled",3,9,10,"Excellent","None or almost none","Strongly agree","Sometimes easy, sometimes hard",9,10,4,9,"No",15,"No","Yes, sometimes",NA,NA,NA,NA,NA,"Moved here recently",0,1,"Some of the time","Sometimes easy, sometimes hard","0",NA,"25-34",2,"   334.4",15088,17
27,2121.932,2021,30,"Male","Māori","Degree","Employed","Partnered","Not a parent",0,"Rented",173096,5,"NZ with NZ parents","Non-disabled",9,9,8,"Excellent","None or almost none","Agree","Very easy to be myself",7,8,5,7,"Yes",20,"Yes, sometimes","No",NA,NA,NA,NA,NA,"No crime here",0,0,"A little of the time","Very easy","0",NA,"25-34",3,"   505.4",23184,21
28,3125.268,2021,25,"Female","European/Other","Secondary school","Employed","Partnered","Not a parent",0,"Owned without mortgage",172966,10,"NZ with NZ parents","Non-disabled",6,9,8,"Very Good","Basic","Strongly agree","Easy to be myself",9,10,8,9,"Yes",15,"Not applicable","No",NA,NA,NA,NA,NA,"Moved here recently",0,0,"None of the time","Sometimes easy, sometimes hard","0",NA,"25-34",3,"   250.4",11408,19
29,832.1589,2021,61,"Male","Māori","Less than secondary school","Employed","Not partnered","Not a parent",0,"Owned with mortgage",39985,6,"NZ with overseas parent(s)","Non-disabled",8,8,8,"Very Good","None or almost none","Strongly agree","Easy to be myself",5,7,6,7,"Yes",13,"Yes, sometimes","No",NA,NA,NA,NA,NA,"About the same",0,0,"A little of the time","Sometimes easy, sometimes hard","0",NA,"55-64",1,"   654.6",29808,36
30,170.9162,2021,50,"Female","Māori","Secondary school","Not in labour force","Not partnered","Not a parent",0,"Owned without mortgage",93957,5,"Long-term migrant","Non-disabled",5,7,7,"Good","None or almost none","Disagree","Sometimes easy, sometimes hard",7,5,2,5,"No",14,"No","Yes, sometimes",NA,NA,NA,NA,NA,"About the same",0,0,"A little of the time","Very easy","0",NA,"45-54",2,"   663.2",30544,33
31,2905.739,2021,77,"Female","Asian","Less than secondary school","Employed","Partnered","Not a parent",0,"Owned without mortgage",94792,8,"NZ with unknown origin parents","Disabled",4,8,8,"Very Good","None or almost none","Neither agree nor disagree","Sometimes easy, sometimes hard",6,4,3,5,"No",12,"No","No",NA,NA,NA,NA,NA,"A little more",1,0,"A little of the time","Easy","0",NA,"65+",2,"   183.7",8832,4
32,608.8338,2021,75,"Male","Māori","Less than secondary school","Not in labour force","Not partnered","Not a parent",0,"Rented",18356,9,"NZ with NZ parents","Non-disabled",4,10,6,"Fair","None or almost none","Disagree","Very easy to be myself",7,10,8,6,"Yes",7,"No","No",NA,NA,NA,NA,NA,"A lot more",0,0,"None of the time","Easy","0",NA,"65+",1,"   626.5",29072,21
33,4252.162,2021,61,"Female","European/Other","Less than secondary school","Employed","Partnered","Not a parent",0,"Owned with mortgage",158185,4,"NZ with NZ parents","Non-disabled",6,8,8,"Good","None or almost none","Disagree","Sometimes easy, sometimes hard",7,5,0,1,"Yes",15,"Yes, sometimes","No",NA,NA,NA,NA,NA,"A lot more",0,0,"None of the time","Hard","0",NA,"55-64",3,"   296.5",13616,28
34,372.5075,2021,43,"Female","Māori","Degree","Unemployed","Partnered","Not a parent",0,"Rented",33303,4,"Long-term migrant","Non-disabled",3,3,3,"Good","Basic","Disagree","Hard to be myself",2,7,4,4,"No",8,"Yes, sometimes","Yes, sometimes",NA,NA,NA,NA,NA,"A lot more",0,0,"A little of the time","Very hard","0",NA,"35-44",1,"   590.5",27084.8,12
35,333.477,2021,28,"Male","Māori","Degree","Employed","Partnered","Not a parent",0,"Owned without mortgage",121470,8,"Medium-term migrant","Non-disabled",5,8,7,"Good","None or almost none","Agree","Sometimes easy, sometimes hard",8,7,7,8,"No",10,"Yes, often","Yes, sometimes",NA,NA,NA,NA,NA,"Moved here recently",0,1,"A little of the time","Easy","0",NA,"25-34",3,"   704.8",32384,33
36,832.2164,2021,67,"Female","Asian","Secondary school","Employed","Partnered","Not a parent",0,"Owned with mortgage",65704,5,"Long-term migrant","Non-disabled",7,8,7,"Good","None or almost none","Agree","Sometimes easy, sometimes hard",7,9,7,7,"Yes",19,"No","No",NA,NA,NA,NA,NA,"A little more",0,0,"None of the time","Hard","0",NA,"65+",2,"   207.4",9200,4
37,1615.944,2021,64,"Male","European/Other","Degree","Not in labour force","Partnered","Not a parent",0,"Owned with mortgage",153920,5,"NZ with NZ parents","Non-disabled",10,9,9,"Very Good","None or almost none","Agree","Very easy to be myself",8,9,4,6,"Yes",20,"No","No",NA,NA,NA,NA,NA,"About the same",0,0,"None of the time","Very easy","0",NA,"55-64",3,"  1342.3",61456,12
38,1871.112,2021,56,"Male","European/Other","Post-secondary NCEA/diploma","Not in labour force","Partnered","Not a parent",0,"Owned with mortgage",210024,5,"NZ with NZ parents","Non-disabled",10,8,8,"Good","None or almost none","Neither agree nor disagree","Easy to be myself",4,7,4,5,"Yes",15,"No","No",NA,NA,NA,NA,NA,"A little more",0,0,"None of the time","Easy","0",NA,"55-64",3,"  1069.5",48944,36
39,2140.873,2021,59,"Female","European/Other","Less than secondary school","Employed","Partnered","Not a parent",0,"Owned without mortgage",74046,5,"Long-term migrant","Non-disabled",5,6,6,"Good","None or almost none","Strongly disagree","Easy to be myself",6,10,1,0,"Yes",19,"Yes, sometimes","No",NA,NA,NA,NA,NA,"A lot more",0,0,"None of the time","Very easy","0",NA,"55-64",2,"   102.4",5152,11
40,2115.728,2021,62,"Male","European/Other","Less than secondary school","Not in labour force","Partnered","Parent",1,"Rented",219091,10,"NZ with NZ parents","Non-disabled",10,10,8,"Very Good","Basic","Agree","Very easy to be myself",8,6,9,1,"Yes",20,"No","Yes, sometimes",NA,NA,NA,NA,NA,"A lot more",0,0,"None of the time","Very easy","1",NA,"55-64",3,"  1070.7",49312,36
41,3741.336,2021,59,"Male","European/Other","Degree","Employed","Not partnered","Not a parent",0,"Owned with mortgage",40352,4,"Medium-term migrant","Non-disabled",5,7,5,"Good","None or almost none","Agree","Easy to be myself",2,3,2,4,"Yes",20,"Yes, sometimes","Yes, sometimes",NA,NA,NA,NA,NA,"About the same",0,1,"A little of the time","Sometimes easy, sometimes hard","0",NA,"55-64",1,"  1312.2",60720,32
42,3099.207,2021,25,"Female","European/Other","Degree","Employed","Not partnered","Not a parent",0,"Rented",29397,7,"Recent migrant","Non-disabled",5,9,9,"Excellent","None or almost none","Strongly agree","Very easy to be myself",4,10,0,3,"No",18,"Not applicable","No",NA,NA,NA,NA,NA,"Moved here recently",0,1,"None of the time","Very easy","0",NA,"25-34",1,"  1158.1",52992,30
43,3743.211,2021,53,"Male","European/Other","Less than secondary school","Not in labour force","Partnered","Not a parent",0,"Owned without mortgage",38390,4,"NZ with NZ parents","Disabled",8,7,7,"Poor","None or almost none","Neither agree nor disagree","Very easy to be myself",8,7,7,6,"Yes",16,"No","No",NA,NA,NA,NA,NA,"A lot more",0,0,"None of the time","Very easy","0",NA,"45-54",1,"   628.8",28704,36
44,1607.449,2021,36,"Male","Māori","Secondary school","Employed","Partnered","Not a parent",0,"Owned without mortgage",123414,6,"NZ with NZ parents","Non-disabled",7,7,7,"Good","None or almost none","Disagree","Hard to be myself",4,5,0,1,"Yes",17,"Yes, sometimes","Yes, sometimes",NA,NA,NA,NA,NA,"No crime here",0,1,"Some of the time","Hard","0",NA,"35-44",3,"   527.5",24288,32
45,6400.557,2021,58,"Female","European/Other","Degree","Employed","Partnered","Not a parent",0,"Owned without mortgage",106441,1,"Long-term migrant","Non-disabled",10,9,9,"Very Good","Basic","Strongly agree","Very easy to be myself",10,8,8,9,"Yes",19,"Yes, sometimes","No",NA,NA,NA,NA,NA,"A little less",0,0,"None of the time","Easy","0",NA,"55-64",3,"   573.2",26496,16
46,2357.847,2021,80,"Male","European/Other","Secondary school","Not in labour force","Not partnered","Not a parent",0,"Rented",12979,3,"Long-term migrant","Non-disabled",7,10,9,"Excellent","Basic","Neither agree nor disagree","Easy to be myself",7,7,1,1,"Yes",18,"No","No",NA,NA,NA,NA,NA,"No crime here",0,1,"None of the time",NA,"0",NA,"65+",1,"   491.7",22816,32
47,21099.87,2021,38,"Female","European/Other","Degree","Employed","Partnered","Parent",1,"Owned without mortgage",82044,9,"NZ with NZ parents","Non-disabled",7,9,10,"Very Good","Basic","Strongly agree","Very easy to be myself",6,6,3,6,"Yes",15,"No","No",NA,NA,NA,NA,NA,"No crime here",0,1,"A little of the time","Very easy","1",NA,"35-44",2,"   618.3",28336,13
48,10641.72,2021,83,"Male","European/Other","Less than secondary school","Employed","Partnered","Not a parent",0,"Owned with mortgage",49708,8,"NZ with NZ parents","Non-disabled",8,9,10,"Very Good","None or almost none","Neither agree nor disagree","Very easy to be myself",8,9,5,2,"Yes",20,"No","No",NA,NA,NA,NA,NA,"About the same",0,0,"None of the time","Very easy","0",NA,"65+",1,"   330.9",15456,30
49,6388.127,2021,43,"Female","European/Other","Post-secondary NCEA/diploma","Not in labour force","Partnered","Parent",1,"Owned without mortgage",224732,2,"NZ with overseas parent(s)","Non-disabled",7,10,8,"Good","None or almost none","Agree","Very easy to be myself",8,9,8,5,"Yes",17,"No","No",NA,NA,NA,NA,NA,"About the same",0,0,"None of the time","Very hard","1",NA,"35-44",3,"   224.6",10672,17
50,6238.577,2021,35,"Female","Asian","Post-secondary NCEA/diploma","Employed","Not partnered","Not a parent",0,"Owned with mortgage",61937,5,"Long-term migrant","Non-disabled",10,7,8,"Good","None or almost none","Neither agree nor disagree","Easy to be myself",6,7,7,7,"Yes",20,"No","Yes, sometimes",NA,NA,NA,NA,NA,"A little more",1,1,"A little of the time","Very easy","0",NA,"35-44",2,"   295.1",13984,32
51,4290.248,2021,53,"Female","European/Other","Secondary school","Employed","Partnered","Parent",3,"Owned without mortgage",108764,5,"NZ with NZ parents","Non-disabled",7,8,8,"Very Good","None or almost none","Disagree","Sometimes easy, sometimes hard",6,8,5,6,"Yes",13,"Yes, sometimes","Yes, sometimes",NA,NA,NA,NA,NA,"About the same",0,0,"None of the time","Hard","3",NA,"45-54",3,"   156.8",6992,38
52,1118.251,2021,46,"Female","Pacific","Degree","Employed","Not partnered","Not a parent",0,"Owned with mortgage",105797,5,"NZ with overseas parent(s)","Non-disabled",10,8,7,"Excellent","None or almost none","Agree","Easy to be myself",7,8,7,7,"Yes",20,"Yes, sometimes","No",NA,NA,NA,NA,NA,"About the same",0,0,"A little of the time","Easy","0",NA,"45-54",3,"   699.0",32016,43
53,6307.572,2021,23,"Male","European/Other","Less than secondary school","Employed","Not partnered","Not a parent",0,"Rented",74060,10,"NZ with unknown origin parents","Non-disabled",6,8,10,"Fair","Conversational","Strongly agree","Sometimes easy, sometimes hard",5,7,3,10,"Yes",4,"Yes, always","No",NA,NA,NA,NA,NA,"No crime here",0,0,"A little of the time","Hard","0",NA,"15-24",2,"  1008.7",46736,122
54,751.2394,2021,49,"Male","Māori","Less than secondary school","Employed","Not partnered","Not a parent",0,"Owned without mortgage",98522,8,"NZ with NZ parents","Non-disabled",3,2,3,"Good","None or almost none","Disagree","Sometimes easy, sometimes hard",0,7,5,5,"Yes",6,"Yes, sometimes","Yes, sometimes",NA,NA,NA,NA,NA,"A lot more",0,1,"Some of the time","Sometimes easy, sometimes hard","0",NA,"45-54",2,"   399.4",18032,24
55,3195.356,2021,51,"Male","European/Other","Less than secondary school","Not in labour force","Partnered","Not a parent",0,"Owned without mortgage",187509,5,"NZ with NZ parents","Disabled",8,7,7,"Very Good","None or almost none","Strongly agree","Very easy to be myself",6,7,5,5,"Yes",19,"Yes, always","No",NA,NA,NA,NA,NA,"About the same",0,0,"None of the time","Very easy","0",NA,"45-54",3,"   569.8",26496,67
56,1631.225,2021,70,"Male","Pacific","Degree","Employed","Partnered","Not a parent",0,"Owned with mortgage",80728,10,"NZ with NZ parents","Non-disabled",4,8,8,"Very Good","None or almost none","Neither agree nor disagree","Easy to be myself",6,6,3,8,"Yes",16,"Yes, sometimes","Yes, sometimes",NA,NA,NA,NA,NA,"About the same",0,0,"None of the time","Hard","0",NA,"65+",2,"  1489.9",68448,49
57,1631.225,2021,47,"Male","Pacific","Degree","Employed","Partnered","Parent",2,"Owned with mortgage",176824,3,"Medium-term migrant","Non-disabled",10,9,9,"Fair","None or almost none","Agree","Easy to be myself",9,7,8,8,"No",20,"No","No",NA,NA,NA,NA,NA,"About the same",0,0,"None of the time","Very easy","2",NA,"45-54",3,"  1063.2",49312,30
58,17042.84,2021,89,"Male","European/Other","Post-secondary NCEA/diploma","Employed","Partnered","Not a parent",0,"Owned without mortgage",81129,2,"NZ with NZ parents","Non-disabled",6,6,5,"Good","None or almost none","Disagree","Easy to be myself",4,8,5,7,"Yes",20,"Yes, sometimes","Yes, sometimes",NA,NA,NA,NA,NA,"A lot more",1,0,"None of the time","Very easy","0",NA,"65+",2,"   253.1",11408,18
59,924.4025,2021,42,"Female","European/Other","Less than secondary school","Not in labour force","Partnered","Parent",2,"Owned without mortgage",262957,2,"NZ with NZ parents","Non-disabled",7,10,10,"Good","None or almost none","Neither agree nor disagree","Very easy to be myself",8,10,5,5,"Yes",19,"No","No",NA,NA,NA,NA,NA,"A little more",0,0,"None of the time","Sometimes easy, sometimes hard","2",NA,"35-44",3,"   271.0",12512,2
60,187.1792,2021,45,"Male","Māori","Degree","Not in labour force","Partnered","Not a parent",0,"Owned without mortgage",103685,5,"NZ with NZ parents","Non-disabled",8,8,10,"Very Good","Conversational","Strongly agree","Very easy to be myself",7,7,3,5,"Yes",16,"No","No",NA,NA,NA,NA,NA,"A little more",0,0,"None of the time","Very easy","0",NA,"45-54",3,"   486.7",22080,14
61,51.87635,2021,35,"Female","Māori","Secondary school","Unemployed","Partnered","Parent",2,"Owned without mortgage",60707,8,"NZ with overseas parent(s)","Non-disabled",7,7,7,"Fair","Basic","Agree","Easy to be myself",7,8,5,5,"Yes",12,"No","No",NA,NA,NA,NA,NA,"No crime here",1,0,"None of the time","Easy","2",NA,"35-44",2,"   513.8",23184,32
62,171.9389,2021,60,"Female","Pacific","Less than secondary school","Employed","Not partnered","Not a parent",0,"Rented",92400,10,"Long-term migrant","Non-disabled",9,10,10,"Very Good","None or almost none","Strongly agree","Easy to be myself",10,10,10,10,"Yes",11,"Yes, sometimes","Yes, sometimes",NA,NA,NA,NA,NA,"About the same",0,0,"None of the time","Easy","0",NA,"55-64",2,"   245.6",11040,20
63,14496.11,2021,29,"Male","European/Other","Post-secondary NCEA/diploma","Employed","Partnered","Parent",2,"Rented",152127,2,"NZ with NZ parents","Non-disabled",8,8,8,"Good","Basic","Agree","Very easy to be myself",7,9,3,6,"Yes",11,"No","No",NA,NA,NA,NA,NA,"A lot more",0,0,"None of the time","Easy","2",NA,"25-34",3,"   772.5",35328,50
64,2134.058,2021,34,"Male","European/Other","Degree","Not in labour force","Partnered","Not a parent",0,"Owned without mortgage",159819,4,"NZ with NZ parents","Non-disabled",7,9,8,"Very Good","None or almost none","Strongly agree","Very easy to be myself",7,9,3,2,"Yes",16,"Yes, sometimes","Yes, sometimes",NA,NA,NA,NA,NA,"About the same",0,0,"Some of the time","Hard","0",NA,"25-34",3,"  1280.9",58512,40
65,13753.64,2021,30,"Male","European/Other","Less than secondary school","Employed","Partnered","Parent",4,"Rented",112695,9,"NZ with NZ parents","Non-disabled",9,7,8,"Fair","Conversational","Strongly agree","Very easy to be myself",7,9,6,8,"Yes",14,"Yes, sometimes","No",NA,NA,NA,NA,NA,"About the same",0,0,"Most of the time","Sometimes easy, sometimes hard","4+",NA,"25-34",3,"   377.4",17296,26
66,10018.71,2021,69,"Female","European/Other","Secondary school","Employed","Partnered","Not a parent",0,"Owned with mortgage",19997,5,"Long-term migrant","Non-disabled",7,8,7,"Good","None or almost none","Neither agree nor disagree","Easy to be myself",8,9,5,6,"Yes",19,"No","No",NA,NA,NA,NA,NA,"No crime here",0,0,"None of the time","Easy","0",NA,"65+",1,"   311.9",14352,30
67,3093.085,2021,16,"Male","European/Other","Less than secondary school","Not in labour force","Not partnered","Not a parent",0,"Rented",66354,4,"NZ with NZ parents","Non-disabled",6,8,7,"Good","None or almost none","Agree","Sometimes easy, sometimes hard",7,8,3,6,"Yes",7,"Not applicable","Yes, sometimes",NA,NA,NA,NA,NA,"About the same",0,0,"A little of the time","Easy","0",NA,"15-24",2,"   647.2",29440,32
68,11897.22,2021,76,"Female","European/Other","Less than secondary school","Employed","Not partnered","Not a parent",0,"Owned with mortgage",44819,5,"NZ with NZ parents","Non-disabled",10,10,10,"Fair","None or almost none","Strongly disagree","Very easy to be myself",8,10,7,7,"Yes",18,"No","No",NA,NA,NA,NA,NA,"About the same",0,1,"A little of the time","Sometimes easy, sometimes hard","0",NA,"65+",1,"   127.4",5520,13
